Value
1.0
2024.0
125.0
0.0
35.0
98.0
500.0
27.0
87.0
300.0
24.0
52.0
200.0
14.0
363.0
0.0
92.0
15.5
28.0
87.0
89.0
0.0
76.0
500.0
54.0
200.0
43.0
800.0
32.0
100.0
125.0
0.0
45.0
0.0
38.0
500.0
28.0
0.0
126.0
500.0
34.8
